step,time_s,contact_force_N,crank_rpm
711,1.424000,95.373578,7.0761
712,1.426000,99.260083,6.9990
713,1.428000,99.363610,7.1132
714,1.430000,102.857016,7.0358
715,1.432000,108.475147,6.8445
716,1.434000,112.262024,6.7873
717,1.436000,110.577077,6.9835
718,1.438000,115.211615,6.8417
719,1.440000,120.747568,6.6591
720,1.442000,124.909519,6.5945
721,1.444000,121.939153,6.8434
722,1.446000,127.389285,6.6621
723,1.448000,132.852010,6.4917
724,1.450000,137.026620,6.4357
725,1.452000,133.093326,6.7169
726,1.454000,139.646906,6.4832
727,1.456000,145.095079,6.3267
728,1.458000,148.967776,6.2968
729,1.460000,144.105594,6.6058
730,1.462000,151.100165,6.3492
731,1.464000,156.733108,6.1869
732,1.466000,162.537673,6.0851
733,1.468000,155.856777,6.4708
734,1.470000,163.303283,6.2129
735,1.472000,169.214776,6.0483
736,1.474000,175.027919,5.9556
737,1.476000,167.129664,6.3730
738,1.478000,175.001547,6.0953
739,1.480000,181.212185,5.9201
740,1.482000,187.727249,5.8084
741,1.484000,180.428899,6.2065
742,1.486000,188.597386,5.9401
743,1.488000,195.159552,5.7706
744,1.490000,201.955757,5.6636
745,1.492000,191.169393,6.1636
746,1.494000,199.937359,5.8570
747,1.496000,206.751584,5.6665
748,1.498000,213.957412,5.5473
749,1.500000,212.156093,5.7670
750,1.502000,216.361688,5.7118
751,1.504000,224.025671,5.5185
752,1.506000,229.931290,5.4409
753,1.508000,219.108263,5.9037
754,1.510000,228.267619,5.5880
755,1.512000,235.519560,5.3954
756,1.514000,243.221392,5.2774
757,1.516000,248.498410,5.2788
758,1.518000,231.858037,5.9028
759,1.520000,241.645593,5.5325
760,1.522000,248.997939,5.3123
761,1.524000,256.964927,5.1830
762,1.526000,265.201232,5.0984
763,1.528000,254.183616,5.5844
764,1.530000,263.815907,5.3039
765,1.532000,271.475173,5.1314
766,1.534000,279.555723,5.0243
767,1.536000,274.826102,5.3135
768,1.538000,283.899013,5.1043
769,1.540000,291.610610,4.9717
770,1.542000,289.502509,5.1623
771,1.544000,298.110243,4.9847
772,1.546000,305.468259,4.8770
773,1.548000,292.731229,5.3364
774,1.550000,301.673406,5.0636
775,1.552000,308.714459,4.9034
776,1.554000,316.212802,4.8104
777,1.556000,323.788939,4.7511
778,1.558000,314.816890,5.1249
779,1.560000,322.942315,4.9206
780,1.562000,329.426254,4.8000
781,1.564000,336.167956,4.7301
782,1.566000,342.852427,4.6860
783,1.568000,329.248424,5.1400
784,1.570000,336.520710,4.9210
785,1.572000,341.946085,4.7982
786,1.574000,347.772263,4.7334
787,1.576000,353.611048,4.6986
788,1.578000,359.222315,4.6785
789,1.580000,364.480480,4.6660
790,1.582000,362.475953,4.8170
791,1.584000,367.258933,4.7468
792,1.586000,371.150672,4.7097
793,1.588000,374.924243,4.6934
794,1.590000,378.440112,4.6888
795,1.592000,381.618729,4.6912
796,1.594000,384.426342,4.6981
797,1.596000,386.855175,4.7085
798,1.598000,388.911836,4.7220
799,1.600000,390.610996,4.7383
800,1.602000,391.971992,4.7573
801,1.604000,393.016990,4.7790
802,1.606000,393.769971,4.8033
803,1.608000,394.256161,4.8299
804,1.610000,394.501653,4.8589
805,1.612000,394.533155,4.8901
806,1.614000,394.377772,4.9232
807,1.616000,394.062807,4.9580
808,1.618000,393.615555,4.9943
809,1.620000,393.063107,5.0320
810,1.622000,392.432169,5.0707
811,1.624000,391.748876,5.1103
812,1.626000,391.038609,5.1505
813,1.628000,390.325826,5.1911
814,1.630000,389.633883,5.2319
815,1.632000,388.984874,5.2727
816,1.634000,388.399462,5.3134
817,1.636000,387.896730,5.3538
