step,time_s,contact_force_N
889,1.780000,31.499187
890,1.782000,31.499187
891,1.784000,31.499187
892,1.786000,31.499187
893,1.788000,31.499187
894,1.790000,31.499187
895,1.792000,31.499187
896,1.794000,31.499187
897,1.796000,31.499187
898,1.798000,31.499187
899,1.800000,31.499187
900,1.802000,31.499187
901,1.804000,31.499187
902,1.806000,31.499187
903,1.808000,31.499187
904,1.810000,31.499187
905,1.812000,31.499187
906,1.814000,31.499187
907,1.816000,31.499187
908,1.818000,31.499187
909,1.820000,31.499187
910,1.822000,31.499187
911,1.824000,31.499187
912,1.826000,31.499187
913,1.828000,31.499187
914,1.830000,31.499187
915,1.832000,31.499187
916,1.834000,31.499187
917,1.836000,31.499187
918,1.838000,31.499187
919,1.840000,31.499187
920,1.842000,31.499187
921,1.844000,31.499187
922,1.846000,31.499187
923,1.848000,31.499187
924,1.850000,31.499187
925,1.852000,31.499187
926,1.854000,31.499187
927,1.856000,31.499187
928,1.858000,31.499187
929,1.860000,31.499187
930,1.862000,31.499187
931,1.864000,31.499187
932,1.866000,31.499187
933,1.868000,31.499187
934,1.870000,31.499187
935,1.872000,31.499187
936,1.874000,31.499187
937,1.876000,31.499187
938,1.878000,31.499187
939,1.880000,31.499187
940,1.882000,31.499187
941,1.884000,31.499187
942,1.886000,31.499187
943,1.888000,31.499187
944,1.890000,31.499187
945,1.892000,31.499187
946,1.894000,31.499187
947,1.896000,31.499187
948,1.898000,31.499187
949,1.900000,31.499187
950,1.902000,31.499187
951,1.904000,31.499187
952,1.906000,31.499187
953,1.908000,31.499187
954,1.910000,31.499187
955,1.912000,31.499187
956,1.914000,31.499187
957,1.916000,31.499187
958,1.918000,31.499187
959,1.920000,31.499187
960,1.922000,31.499187
961,1.924000,31.499187
962,1.926000,31.499187
963,1.928000,31.499187
964,1.930000,31.499187
965,1.932000,31.499187
966,1.934000,31.499187
967,1.936000,31.499187
968,1.938000,31.499187
969,1.940000,31.499187
970,1.942000,31.499187
971,1.944000,31.499187
972,1.946000,31.499187
973,1.948000,31.499187
974,1.950000,31.499187
975,1.952000,31.499187
976,1.954000,31.499187
977,1.956000,31.499187
978,1.958000,31.499187
979,1.960000,31.499187
980,1.962000,31.499187
981,1.964000,31.499187
982,1.966000,31.499187
983,1.968000,31.499187
984,1.970000,31.499187
985,1.972000,31.499187
986,1.974000,31.499187
987,1.976000,31.499187
988,1.978000,31.499187
989,1.980000,31.499187
990,1.982000,31.499187
991,1.984000,31.499187
992,1.986000,31.499187
993,1.988000,31.499187
994,1.990000,31.499187
995,1.992000,31.499187
996,1.994000,31.499187
997,1.996000,31.499187
998,1.998000,31.499187
999,2.000000,31.499187
